"date","bedrooms","bathrooms","sqft_living","floors","view","grade","sqft_above","sqft_basement","lat","long","sqft_living15","price"
2014-10-13,3,1,1180,1,0,7,1180,0,47.5112,-122.257,1340,221900
2014-12-09,3,2.25,2570,2,0,7,2170,400,47.721,-122.319,1690,538000
2015-02-25,2,1,770,1,0,6,770,0,47.7379,-122.233,2720,180000
2014-12-09,4,3,1960,1,0,7,1050,910,47.5208,-122.393,1360,604000
2015-02-18,3,2,1680,1,0,8,1680,0,47.6168,-122.045,1800,510000
2014-06-27,3,2.25,1715,2,0,7,1715,0,47.3097,-122.327,2238,257500
2015-01-15,3,1.5,1060,1,0,7,1060,0,47.4095,-122.315,1650,291850
2015-04-15,3,1,1780,1,0,7,1050,730,47.5123,-122.337,1780,229500
2015-03-12,3,2.5,1890,2,0,7,1890,0,47.3684,-122.031,2390,323000
2015-04-03,3,2.5,3560,1,0,8,1860,1700,47.6007,-122.145,2210,662500
2014-05-27,2,1,1160,1,0,7,860,300,47.69,-122.292,1330,468000
2014-05-28,3,1,1430,1.5,0,7,1430,0,47.7558,-122.229,1780,310000
2014-10-07,3,1.75,1370,1,0,7,1370,0,47.6127,-122.045,1370,4e+05
2015-03-12,5,2,1810,1.5,0,7,1810,0,47.67,-122.394,1360,530000
2015-01-24,4,3,2950,2,3,9,1980,970,47.5714,-122.375,2140,650000
2014-07-31,3,2,1890,2,0,7,1890,0,47.7277,-121.962,1890,395000
2014-05-29,4,1,1600,1.5,0,7,1600,0,47.6648,-122.343,1610,485000
2014-12-05,2,1,1200,1,0,7,1200,0,47.3089,-122.21,1060,189000
2015-04-24,3,1,1250,1,0,7,1250,0,47.3343,-122.306,1280,230000
2014-05-14,4,1.75,1620,1,0,7,860,760,47.7025,-122.341,1400,385000
2014-07-03,5,2.5,2270,2,0,8,2270,0,47.3266,-122.169,2240,285000
2014-05-16,2,1.5,1070,1,0,7,1070,0,47.3533,-122.166,1220,252700
2014-11-20,3,2.25,2450,2,0,8,2450,0,47.3739,-122.172,2200,329000
2014-11-03,3,2,1710,1.5,0,6,1710,0,47.3048,-122.218,1030,233000
2014-06-26,3,1.75,2450,2,0,8,1750,700,47.6386,-122.36,1760,937000
2014-12-01,3,1,1400,1.5,0,8,1400,0,47.6221,-122.314,1860,667000
2014-06-24,3,1.75,1520,1,0,7,790,730,47.695,-122.304,1520,438000
2015-03-02,4,2.5,2570,2,0,8,2570,0,47.7073,-122.11,2630,719000
2014-11-10,3,2.5,2320,2,0,8,2320,0,47.5391,-122.07,2580,580500
2014-12-01,2,1.5,1190,3,0,7,1190,0,47.7274,-122.357,1390,280000
2014-06-24,4,1.75,2330,1.5,0,7,1510,820,47.6823,-122.368,1460,687500
2014-11-10,3,1,1090,1.5,0,8,1090,0,47.6889,-122.375,1570,535000
2014-12-03,4,2.75,2060,1,0,7,1280,780,47.4276,-122.157,2020,322500
2014-06-13,3,2.5,2300,1.5,0,8,1510,790,47.6827,-122.31,1590,696000
2014-05-28,4,1,1660,1,0,5,930,730,47.6621,-122.132,2160,550000
2014-12-30,4,2,2360,2,0,8,2360,0,47.6702,-122.362,1730,640000
2015-02-13,4,1,1220,1,0,7,890,330,47.3341,-122.282,1290,240000
2014-06-20,4,2.5,2620,2,0,8,2620,0,47.5301,-122.18,2620,605000
2014-07-15,4,2.5,2570,2,0,9,2570,0,47.6145,-122.027,2470,625000
2014-08-11,4,2.25,4220,1,0,8,2600,1620,47.445,-122.347,2410,775000
2014-07-07,5,2.75,3595,2,0,9,3595,0,47.6848,-122.016,3625,861990
2014-10-28,3,1,1570,2,0,7,1570,0,47.6413,-122.364,1580,685000
2014-07-29,3,1,1280,1,0,6,920,360,47.4485,-122.175,1340,309000
2014-07-18,3,2.5,3160,2,0,8,3160,0,47.7443,-121.977,3050,488000
2015-03-25,3,1,990,1,0,6,990,0,47.3066,-122.371,1228,210490
2014-07-16,4,2.5,2290,2,0,9,2290,0,47.6194,-122.151,2680,785000
2015-04-28,3,1.75,1250,1,0,7,1250,0,47.6796,-122.301,970,450000
2014-09-16,3,1,1190,1,0,7,1190,0,47.4258,-122.322,1190,228000
2015-02-17,5,2.5,3150,1,0,8,1640,1510,47.4934,-122.189,1990,345000
2014-12-31,3,1.75,1410,1,0,7,1000,410,47.6808,-122.384,1410,6e+05
2015-02-05,2,1.75,1980,1,0,7,990,990,47.6989,-122.369,1480,585000
2015-03-03,5,2.25,2730,1.5,0,8,2130,600,47.6571,-122.281,2730,920000
2014-05-12,4,2.5,2830,2,0,9,2830,0,47.6597,-122.29,1950,885000
2014-08-19,4,2.5,2250,2,0,7,2250,0,47.3663,-122.114,2250,292500
2015-04-07,3,2.5,2420,2,0,8,2420,0,47.3663,-122.122,2690,301000
2014-08-27,5,3.25,3250,2,4,8,3250,0,47.588,-122.116,2960,951000
2015-02-23,4,3,1850,2,0,8,1850,0,47.5059,-122.149,2270,430000
2014-12-10,3,2.25,2150,1,3,8,1590,560,47.4336,-122.339,2570,650000
2014-08-28,3,1.75,1260,1,0,7,1260,0,47.4366,-122.335,1290,289000
2014-10-21,3,1.75,2519,2,0,8,2519,0,47.4428,-122.344,2500,505000
2014-12-07,3,1.75,1540,3,0,8,1540,0,47.6765,-122.32,1580,549000
2014-06-03,3,2.25,1660,1,0,7,1110,550,47.6113,-122.297,1440,425000
2014-11-20,3,2.75,2770,1.5,0,7,1770,1000,47.5747,-122.304,1440,317625
2014-09-09,4,2.5,2720,2,0,10,2720,0,47.5815,-122.192,2750,975000
2014-10-09,4,2.5,2240,2,0,7,2240,0,47.3378,-122.257,2221,287000
2014-08-25,3,1,1000,1,0,7,1000,0,47.3621,-122.11,1010,204000
2014-09-12,5,3.25,4770,1,0,11,3070,1700,47.6525,-122.16,3530,1040000
2015-01-05,3,2,1260,1,0,7,1260,0,47.7362,-122.179,1640,325000
2014-06-10,4,2,2750,1.5,0,7,2250,500,47.7168,-122.287,1510,571000
2014-07-10,4,2.5,2380,2,0,8,2380,0,47.3608,-122.036,2420,360000
2015-03-16,3,1.75,1790,1,0,7,1090,700,47.3511,-122.073,1940,349000
2014-11-05,4,4,3430,2,0,10,2390,1040,47.5822,-121.987,3240,832500
2014-10-13,4,1.75,1760,1,0,7,880,880,47.6034,-122.125,1680,380000
2015-04-20,3,1,1040,1,0,7,1040,0,47.5636,-122.394,890,480000
2014-06-09,3,1,1410,1,0,7,910,500,47.7073,-122.34,1130,410000
2015-03-23,4,2.5,3450,2,0,10,3450,0,47.342,-122.025,3350,720000
2014-12-02,3,2.5,2350,2,0,8,2350,0,47.3512,-122.008,2350,390000
2014-12-22,4,2.5,1900,2,0,7,1900,0,47.349,-122.031,1870,360000
2014-10-28,2,1,2020,1,0,7,1010,1010,47.5474,-122.291,1720,355000
2015-01-28,3,1.5,1680,1,0,8,1680,0,47.4811,-122.149,1850,356000
2014-06-02,3,1,960,1,0,6,960,0,47.7264,-122.31,1570,315000
2014-11-14,3,1.5,2140,2,0,9,1900,240,47.6337,-122.365,2020,940000
2014-11-03,5,2.25,2660,1.5,0,7,2660,0,47.2909,-122.189,1590,305000
2014-06-18,3,3.25,2770,2,0,9,1980,790,47.5228,-122.199,1900,461000
2014-05-19,2,2.25,1610,2,0,7,1610,0,47.518,-122.194,1950,215000
2014-09-04,2,1.75,1030,2,0,7,765,265,47.5394,-122.387,1030,335000
2014-05-22,4,2.5,1980,2,0,7,1980,0,47.2897,-122.372,1980,243500
2015-03-11,5,2.75,3520,2,0,10,3520,0,47.6506,-122.391,2520,1099880
2015-02-26,3,1,1200,1,0,7,1200,0,47.322,-122.351,1350,153000
2014-07-25,3,1.5,1580,1,0,8,1290,290,47.687,-122.386,1570,430000
2014-12-23,3,1.5,1580,1,0,8,1290,290,47.687,-122.386,1570,7e+05
2014-09-08,4,2.5,3300,1,0,7,2390,910,47.5873,-122.249,1950,905000
2015-03-30,3,1.75,1960,1,0,7,1960,0,47.3576,-122.277,1750,247500
2014-09-12,4,1.5,1160,1,0,7,1160,0,47.3036,-122.378,1160,199000
2014-07-11,3,1.75,1810,1,0,7,1210,600,47.4109,-121.958,1650,314000
2014-05-16,3,2.5,2320,2,2,9,2320,0,47.4838,-121.714,2550,437500
2014-06-11,3,2.5,2070,1.5,0,9,1270,800,47.6415,-122.315,2200,850830
2014-10-27,3,2,1980,1.5,0,7,1440,540,47.6775,-122.372,1610,555000
2014-12-12,3,2.25,2190,2,0,8,2190,0,47.7731,-122.08,2570,699950
2014-10-07,3,2.5,2920,2,0,8,2920,0,47.5814,-122.196,2370,1088000
2014-09-24,3,1,1210,1,0,7,1210,0,47.4375,-122.184,1640,290000
2015-04-02,3,2.5,2340,1,0,8,1460,880,47.4431,-122.133,2250,375000
2014-05-23,3,1,1670,1.5,0,7,1170,500,47.6878,-122.38,1240,460000
2014-07-23,2,1.75,1240,1,0,8,1240,0,47.3813,-122.322,1270,188500
2015-03-05,4,2.5,3140,2,0,10,3140,0,47.7304,-122.082,2990,680000
2014-08-27,5,1.75,2030,2,0,7,2030,0,47.6417,-122.109,2500,470000
2014-07-25,4,2.5,2310,2,0,8,2310,0,47.5386,-122.053,1940,597750
2015-03-04,3,1.75,1260,1,0,6,700,560,47.6823,-122.349,1380,570000
2014-09-16,3,1.75,1540,1,0,7,1160,380,47.3624,-122.031,1540,272500
2014-11-24,3,1.75,2080,1,2,7,1080,1000,47.5474,-122.295,2090,329950
2014-10-28,4,2.5,3230,2,3,9,2520,710,47.3183,-122.253,2640,480000
2014-11-21,3,3.5,4380,2,0,8,2780,1600,47.6981,-122.368,1830,740500
2014-06-26,3,3.5,1590,3,0,8,1590,0,47.6824,-122.347,1620,518500
2014-06-23,2,1,880,1,0,6,880,0,47.5009,-122.248,1190,205425
2015-01-08,4,2,1570,1,0,6,1570,0,47.4965,-122.303,1880,171800
2015-05-11,4,1,1610,1.5,0,7,1610,0,47.587,-122.294,1610,535000
2015-01-02,3,2.5,2400,1,2,8,1560,840,47.7728,-122.386,2340,660000
2014-11-19,3,2,1450,1,0,7,1450,0,47.7288,-122.226,1580,391500
2015-04-06,2,1,770,1,0,6,770,0,47.6999,-122.364,1710,395000
2014-11-04,4,1.75,2100,1.5,0,7,1720,380,47.5299,-122.266,1850,445000
2014-06-18,3,2.25,2910,2,0,9,2910,0,47.6897,-122.098,2700,770000
2014-07-17,3,2.25,2100,1,2,8,1620,480,47.5091,-122.244,2660,445000
2014-07-17,4,2.25,2160,1,0,8,1360,800,47.3129,-122.39,2090,260000
2014-06-13,5,3.5,2320,2,0,7,1720,600,47.6763,-122.352,1700,822500
2015-04-06,4,2.5,2070,2,0,7,2070,0,47.5319,-121.85,1970,430000
2015-01-05,3,1.75,1060,1,0,7,1060,0,47.2761,-122.152,1420,212000
2015-04-28,4,2.25,2010,1,0,8,1440,570,47.5343,-122.054,2060,660500
2014-06-12,3,3.5,3950,1.5,0,9,2460,1490,47.697,-122.072,2480,784000
2014-05-12,3,2.5,2010,2,0,8,1390,620,47.5517,-121.998,1690,453246
2015-01-26,4,3.5,2140,3,0,9,2140,0,47.6734,-122.38,1540,675000
2014-08-13,3,1.75,1320,1,0,7,1320,0,47.3257,-122.296,1550,199000
2014-08-05,4,1.75,2020,1,0,7,1010,1010,47.3309,-122.299,1750,220000
2014-05-29,4,2.25,2590,1,0,8,1340,1250,47.7689,-122.266,1550,452000
2014-07-07,2,1,1190,1,0,6,1190,0,47.7135,-122.287,1060,382500
2014-05-07,3,2.25,1170,3,0,8,1170,0,47.6722,-122.381,1350,519950
2014-06-27,2,1,1110,1,0,7,1110,0,47.6338,-122.358,1170,665000
2014-07-08,5,2.5,2820,1,0,8,1550,1270,47.5707,-122.128,2820,527700
2015-05-08,3,1,1610,1,0,7,1010,600,47.4563,-122.171,1610,205000
2015-04-15,3,1,1060,1,0,7,940,120,47.7144,-122.351,1560,420000
2015-02-27,4,2.25,2030,1,0,8,1380,650,47.5495,-122.174,2230,5e+05
2014-12-03,4,2.5,3670,2,0,9,3670,0,47.7421,-122.026,2840,921500
2014-06-25,4,1,2550,2,0,8,2370,180,47.6354,-122.353,2200,890000
2014-08-06,2,2.5,2420,2,0,7,2420,0,47.5262,-121.943,1940,430000
2014-10-30,5,2,2260,1,0,8,1130,1130,47.3887,-122.286,1360,258000
2014-11-04,3,1,1430,1,0,7,980,450,47.6873,-122.336,1450,511000
2014-08-20,3,2,1360,2,0,8,1360,0,47.6838,-122.353,1500,532170
2015-04-09,3,1,1110,1.5,0,7,1110,0,47.655,-122.359,1420,560000
2015-03-31,3,1,1250,1,0,7,1250,0,47.3255,-122.304,1680,282950
2014-05-16,1,1,700,1,0,7,700,0,47.679,-122.3,1010,350000
2014-07-28,3,1,1180,1,0,7,1180,0,47.4479,-122.176,1190,215000
2014-11-20,5,3.5,3960,2,0,9,2500,1460,47.525,-122.172,2640,650000
2014-08-07,4,2.75,2640,1,0,8,1620,1020,47.3135,-122.369,1980,320000
2014-11-13,3,2,1270,1.5,0,7,1270,0,47.2086,-121.996,1160,247000
2014-10-03,4,1.75,1760,1,0,8,1760,0,47.4715,-122.118,1730,320000
2014-05-07,5,2.25,2060,1,0,7,1030,1030,47.4877,-122.335,1010,255000
2015-03-09,3,1.75,1780,1,0,7,1780,0,47.7171,-122.193,1200,438000
2015-03-04,3,2.5,3400,2,0,10,3400,0,47.6012,-122.023,3400,9e+05
2014-06-20,3,2.75,1910,1,0,7,1160,750,47.7319,-122.224,1710,441000
2014-08-12,3,2,2020,1,0,7,1010,1010,47.4582,-122.023,2110,420000
2014-12-08,3,1.75,1580,1,0,7,1180,400,47.7209,-122.168,1640,370000
2015-02-19,2,1.75,1340,1,0,5,700,640,47.408,-122.327,1830,269950
2015-03-24,4,2.5,2680,2,0,9,2680,0,47.565,-122.125,2920,807100
2014-06-05,3,2.5,2680,1,0,8,1610,1070,47.7028,-122.231,2480,653000
2014-06-11,3,2,1370,1,0,7,1370,0,47.7458,-122.331,1770,371500
2015-03-16,3,1.75,1560,1,0,7,1560,0,47.4776,-122.337,1070,284000
2015-01-02,3,1.75,2160,1,0,7,1670,490,47.3026,-122.374,1930,272000
2014-05-02,3,1.5,1340,1.5,0,7,1340,0,47.7658,-122.339,1480,313000
2015-01-16,4,2.5,3880,2,0,10,2570,1310,47.6477,-122.182,3740,917500
2014-09-29,4,2.25,2590,2,0,8,2590,0,47.5619,-122.125,2260,673000
2015-02-10,3,2.5,1120,2,0,8,820,300,47.6106,-122.31,1590,425000
2014-07-09,5,2.75,1970,1,0,7,1320,650,47.5868,-122.308,1280,399950
2014-05-30,3,1,1220,1,0,6,1220,0,47.6101,-122.307,1200,385000
2014-11-17,3,1.5,1950,1,2,7,1320,630,47.1976,-121.999,1950,269950
2015-01-07,2,1,1350,1,0,7,1060,290,47.7224,-122.358,1540,330000
2014-07-25,3,2.5,1670,2,0,7,1670,0,47.3505,-122.179,1670,260000
2015-04-14,4,3,2380,1.5,0,7,1680,700,47.5384,-122.376,1410,470000
2014-06-13,4,3,2440,2,0,7,2440,0,47.7044,-122.2,2290,589000
2014-07-23,2,1.5,1050,2,0,7,1050,0,47.3848,-122.039,1050,163500
2014-09-05,4,2.75,3130,2,0,9,2140,990,47.6993,-122.102,2260,835000
2014-11-21,5,3,4090,1,2,10,2090,2000,47.6627,-122.188,2540,1095000
2015-04-15,4,1.75,1490,1,0,8,1100,390,47.3099,-122.379,2190,269000
2014-05-05,3,2.5,1900,2,0,8,1900,0,47.62,-122.043,2030,560000
2015-04-18,4,1,1330,1.5,0,6,1330,0,47.65,-122.34,1330,615000
2014-12-05,3,2.25,2230,1,0,8,1430,800,47.6647,-122.153,2230,585188
2014-08-18,3,1.75,1650,1,0,7,1220,430,47.726,-122.191,1540,305000
2014-11-05,3,1,1190,1,0,6,1190,0,47.4616,-122.184,1230,166950
2014-09-12,3,2.5,2140,1,0,8,2140,0,47.5505,-122.219,2680,799000
2014-06-25,3,2.5,2180,1,0,7,1420,760,47.7606,-122.336,1900,4e+05
2014-12-01,3,1,1060,1,0,7,1060,0,47.7481,-122.3,1570,230000
2014-05-15,3,2.5,1690,2,0,8,1690,0,47.2779,-122.347,2550,256883
2014-11-11,4,2,1970,1.5,0,7,1130,840,47.5511,-122.312,1500,423000
